0   10   4   19   0
1   10   6   18   0
2   10   8   17   0
3   10   10   16   0
4   10   12   15   0
5   10   14   14   0
6   10   16   13   0
7   10   18   12   0
8   10   20   11   0
9   10   22   10   0
10   11   24   8   0
11   11   26   7   0
12   11   28   6   0
13   11   30   5   0
14   10   32   4   1
15   10   34   3   1
16   10   36   2   1
17   10   38   1   1
18   8   40   1   5
19   8   42   0   5
20   0   44   0   20
21   0   46   0   19
22   0   48   0   18
23   0   50   0   17
24   0   52   0   16
25   0   54   0   16
26   0   56   0   15
27   0   58   0   15
28   0   60   0   14
29   0   62   0   14
30   0   64   0   13
31   0   66   0   13
32   0   68   0   12
33   0   70   0   12
34   0   72   0   12
35   0   74   0   11
0   20   4   9   0
1   20   6   8   0
2   22   8   6   0
3   23   10   5   0
4   24   12   3   0
5   23   14   2   1
6   20   16   2   6
7   18   18   1   9
8   16   20   0   11
9   14   22   0   14
10   0   24   0   38
11   0   26   0   35
12   0   28   0   32
13   0   30   0   30
14   0   32   0   28
15   0   34   0   26
16   0   36   0   24
17   0   38   0   23
18   0   40   0   22
19   0   42   0   21
20   0   44   0   20
21   0   46   0   19
22   0   48   0   18
23   0   50   0   17
24   0   52   0   16
25   0   54   0   16
26   0   56   0   15
27   0   58   0   15
0   10   3   10   0
1   10   5   9   0
2   10   7   8   0
3   10   9   7   0
4   10   11   6   0
5   10   13   5   0
6   10   15   4   0
7   10   17   3   0
8   10   19   2   0
9   10   20   2   0
10   2   22   9   14
11   2   23   13   13
12   3   25   8   12
13   3   26   10   11
14   3   28   9   10
15   3   30   8   10
16   3   32   7   9
17   4   34   4   8
18   5   36   2   8
