0   10   4   19   0
1   10   6   18   0
2   10   8   17   0
3   10   10   16   0
4   10   11   17   0
5   10   13   16   0
6   10   15   15   0
7   10   17   14   0
8   10   19   13   0
9   10   21   12   0
10   10   23   11   0
11   10   25   10   0
12   10   27   9   0
13   10   29   8   0
14   10   31   7   0
15   10   33   6   0
16   10   35   5   0
17   10   37   4   0
18   10   39   3   0
19   10   41   2   0
20   1   43   19   17
21   1   45   18   16
22   1   47   17   15
23   1   49   16   15
24   1   51   15   14
25   1   53   14   13
26   1   55   13   13
27   1   57   12   12
28   1   59   11   12
29   1   61   10   12
30   1   63   9   11
31   1   65   8   11
32   1   67   7   10
33   1   69   6   10
34   1   71   5   10
35   1   73   4   10
0   20   4   9   0
1   20   6   8   0
2   20   8   7   0
3   21   10   5   0
4   21   12   4   0
5   20   14   3   1
6   20   16   2   1
7   20   17   2   1
8   20   19   1   1
9   18   21   0   4
10   1   23   9   35
11   1   25   8   32
12   1   27   7   29
13   1   29   6   27
14   1   31   5   25
15   1   33   4   24
16   1   35   3   22
17   1   37   2   21
18   1   39   1   20
19   1   41   0   19
20   0   43   0   20
21   0   45   0   19
22   0   47   0   18
23   0   49   0   17
24   0   51   0   17
25   0   53   0   16
26   0   55   0   15
27   0   57   0   15
0   10   3   10   0
1   10   5   9   0
2   10   7   8   0
3   10   9   7   0
4   10   11   6   0
5   10   13   5   0
6   10   15   4   0
7   10   17   3   0
8   10   18   3   0
9   10   20   2   0
10   2   22   9   14
11   2   24   8   13
12   2   26   7   12
13   2   28   6   11
14   2   30   5   10
15   2   32   4   10
16   2   34   3   9
17   2   36   2   8
18   2   37   6   8
